/Library/Frameworks/Python.framework/Versions/3.6/bin/python3.6 /Users/mark/PycharmProjects/NotMnist/train.py
2017-08-11 07:21:48.073255: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-11 07:21:48.073270: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-11 07:21:48.073273: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-11 07:21:48.073277: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
(200000, 28, 28, 1)
17400	 step, accuracy 83.0%
17500	 step, accuracy 85.5%
17600	 step, accuracy 86.0%
17700	 step, accuracy 88.5%
17800	 step, accuracy 89.0%
17900	 step, accuracy 87.5%
18000	 step, accuracy 83.5%
18100	 step, accuracy 86.5%
18200	 step, accuracy 87.5%
18300	 step, accuracy 88.0%
18400	 step, accuracy 84.5%
18500	 step, accuracy 86.5%
18600	 step, accuracy 89.5%
18700	 step, accuracy 88.5%
18800	 step, accuracy 89.0%
18900	 step, accuracy 83.0%
19000	 step, accuracy 86.5%
19100	 step, accuracy 87.5%
19200	 step, accuracy 85.5%
19300	 step, accuracy 89.0%
19400	 step, accuracy 84.5%
19500	 step, accuracy 88.5%
19600	 step, accuracy 87.0%
19700	 step, accuracy 88.0%
19800	 step, accuracy 89.0%
19900	 step, accuracy 86.0%
20000	 step, accuracy 84.5%
20100	 step, accuracy 88.0%
20200	 step, accuracy 88.0%
20300	 step, accuracy 88.5%
20400	 step, accuracy 85.5%
20500	 step, accuracy 86.5%
20600	 step, accuracy 86.5%
20700	 step, accuracy 87.0%
20800	 step, accuracy 89.5%
20900	 step, accuracy 85.5%
21000	 step, accuracy 84.0%
21100	 step, accuracy 87.5%
21200	 step, accuracy 87.5%
21300	 step, accuracy 88.0%
21400	 step, accuracy 84.5%
21500	 step, accuracy 86.5%
21600	 step, accuracy 87.5%
21700	 step, accuracy 89.0%
21800	 step, accuracy 88.0%
21900	 step, accuracy 85.5%
22000	 step, accuracy 86.0%
22100	 step, accuracy 87.5%
22200	 step, accuracy 87.0%
22300	 step, accuracy 90.0%
22400	 step, accuracy 85.0%
22500	 step, accuracy 88.0%
22600	 step, accuracy 88.0%
22700	 step, accuracy 89.0%
22800	 step, accuracy 88.5%
22900	 step, accuracy 84.0%
23000	 step, accuracy 85.5%
23100	 step, accuracy 86.5%
23200	 step, accuracy 84.0%
23300	 step, accuracy 88.5%
23400	 step, accuracy 86.0%
23500	 step, accuracy 87.5%
23600	 step, accuracy 89.0%
23700	 step, accuracy 88.0%
23800	 step, accuracy 87.5%
